,Coefficients,Standard Error,t-value,p-value,Lower CI (2.5%),Higher CI (97.5%)
infinitive_incidence,0.0049,0.001,3.42,0.001,0.002,0.008
mean_distinct_rare,-0.0296,0.005,-6.495,0.0,-0.038,-0.021
min_wf_per_sentence,0.1027,0.031,3.364,0.001,0.043,0.163
mtld,-0.0019,0.001,-2.151,0.032,-0.004,-0.0
num_a1_words,0.0149,0.003,5.361000000000001,0.0,0.009000000000000001,0.02
num_b2_words,-0.0211,0.006999999999999999,-2.991,0.003,-0.035,-0.006999999999999999
num_c1_words,-0.0371,0.01,-3.8310000000000004,0.0,-0.055999999999999994,-0.018000000000000002
num_content_words_not_a1_c1_words,0.0141,0.004,3.27,0.001,0.006,0.023
num_indic,0.0206,0.006999999999999999,3.1439999999999997,0.002,0.008,0.034
num_past,0.0119,0.004,3.17,0.002,0.005,0.019
num_total_prop,0.0259,0.006999999999999999,3.908,0.0,0.013000000000000001,0.039
num_words,-0.0193,0.002,-9.244,0.0,-0.023,-0.015
sentences_length_no_stopwords_std,-0.0401,0.01,-3.8339999999999996,0.0,-0.061,-0.02
sentences_per_paragraph_mean,-0.0182,0.008,-2.3609999999999998,0.018000000000000002,-0.033,-0.003
